region,location_name,user_name,rating,review_text,review_date,source,
Wilayah Bali Utara,Kebun Raya,Nyoman Warta,5,,2025-06-24T11:54:54.317Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,johan istanto,5,,2025-06-24T09:05:05.592Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Holik Ismail Abdul,3,"Its a lovely park but in the other hands pas datang gak banyk yang bisa dilihat mungkin belum pada bloom bunga2nya , bersih banget si tapi. Pas piknik buat keluarga. Bagusnya harga terjangkau parkiran luas dan emang gwedee banget garden ini harus sewa golf cart atau shuttle kayaknya kalau mau explore mungkin akan sapat ecperience yang maksimal",2025-06-24T08:28:32.722Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ayu Agnes,5,,2025-06-24T08:25:56.064Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Gede Arya,5,,2025-06-22T23:07:45.906Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Novelzaanbiyanaputri Novelzaanbiyanaputri,5,Sangat sejuk dan asri banget pokoknya,2025-06-22T13:54:37.485Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Dodox Mimba,5,Tempat healing terbaik,2025-06-22T10:31:32.711Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Putu Risma Eka Putra,5,,2025-06-22T06:05:53.921Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Made Joel,3,"Tolong perbaiki fasilitas dasar yaitu Toilet, upgrade supaya nyaman dan bersih. Toilet yang layak dan standard international.",2025-06-22T06:01:24.458Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Кароліна Кривулич,4,,2025-06-22T04:24:09.324Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Ajith,5,"Calm, cool and nice place to click photos. Dont miss the deer there !",2025-06-21T15:54:01.610Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Yudi Antara,5,,2025-06-21T10:00:48.483Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Shafira Firdausa,5,"A pretty, quiet, up in the mountain botanical garden. Many visit the place with friends and families, taking a walk or having a picnic on the grass. The entire area is very vast with several gardens dispered across the park.

Entry ticket is cheap with almost no queue. Big parking space. Inside there are rental bikes that you can rent per hour. The park is clean and no trash in sight.",2025-06-21T01:54:54.330Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,OMBOB88,4,,2025-06-21T00:27:16.786Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Sahat Marulitua Togatorop,5,,2025-06-20T09:08:48.308Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Cynthia Su,4,,2025-06-20T06:43:20.094Z,Google Maps,
Wilayah Bali Utara,Kebun Raya,Eka Ananta,5,selalu yg terbaik,2025-06-19T13:53:07.760Z,Google Maps,
